Task_ID,Task_Type,Execution_Time_ms
0,LIGHT,96.948
1,LIGHT,447.936
2,LIGHT,360.529
3,LIGHT,273.521
4,LIGHT,185.552
5,HEAVY,489.719
6,HEAVY,480.815
7,HEAVY,493.142
8,HEAVY,526.244
9,HEAVY,494.409
