Task_ID,Task_Type,Execution_Time_ms
0,LIGHT,666.053
1,LIGHT,601.209
2,LIGHT,530.110
3,LIGHT,465.139
4,LIGHT,400.127
5,LIGHT,329.092
6,LIGHT,264.292
7,LIGHT,199.155
8,LIGHT,134.302
9,LIGHT,69.178
10,HEAVY,333.002
11,HEAVY,267.299
12,HEAVY,264.927
13,HEAVY,265.149
14,HEAVY,264.192
15,HEAVY,264.467
16,HEAVY,263.455
17,HEAVY,264.528
18,HEAVY,264.458
19,HEAVY,262.248
